ID,CUST_ID,PHONE_NO,NAME,CREATE_TIME,ADDRESS,CUST_TYPE,PROD_ID,CREDIT_RANK
1,1461,13440884475,邹际回,2017/5/10,徐新庄社区,1,4G198,A
2,1462,13416831386,朱包严,2017/9/10,贵园北里社区,2,4G588,B
3,1463,13450860731,钱任听,2017/1/23,芳源里社区,1,4G58,C
4,1464,13432550101,葛基,2017/9/21,亭子庄社区,1,4G98,F
5,1465,13414587360,史包外,2017/6/7,清华科技园社区,1,4G288,A
6,1091,13660463607,沈先空,2017/6/7,北湖社区,1,4G78,A
7,1092,13630765756,孟文,2018/4/15,农大社区,1,4G78,B
8,1093,13683023077,凤儿克,2017/4/11,东关北里社区,1,4G58,C
9,1094,13651500070,李开群,2017/9/16,黄庄社区,2,4G388,F
10,1095,13650334327,吴米总,2017/6/28,太阳园社区,1,4G288,A
11,1096,13665212750,马它,2017/5/6,金台里社区,1,4G288,C
12,1097,13634722162,奚务式,2017/12/22,东坝社区,1,4G98,A
13,1098,13616316878,金极人,2018/1/29,城南嘉园社区,1,4G288,B
14,1099,13610112755,卫消太,2017/2/17,美然社区,1,4G78,A
15,1100,13603527488,昌般,2018/3/17,十渡社区,1,4G198,A
16,1101,13653242537,严信前,2017/5/17,高家园社区,1,4G98,A
17,1102,13674172177,周千带,2018/1/15,小红门社区,1,4G78,B
18,1103,13662436263,邬党比,2017/8/6,南口镇道南社区,1,4G198,C
19,1104,13675146527,张志,2017/3/6,军庄社区,1,4G58,F
20,1105,13615064160,曹转此,2017/6/8,金融街社区,1,4G288,A
21,1106,13658530346,王或离,2018/4/15,槐柏树社区,1,4G288,C
22,1107,13656516523,史比处,2017/4/24,中塔社区,1,4G168,A
23,1108,13688841558,戚先,2018/7/15,西直门外社区,1,4G78,B
24,1109,13614723473,彭素性,2018/4/25,潘家园东里社区,2,4G588,A
25,1110,13626705114,廉二族,2017/5/26,科学园社区,1,4G58,A
26,1111,13625361421,费得统,2018/6/19,长子营社区,1,4G78,A
27,1112,13641686286,乐都,2017/12/31,海户西里社区,1,4G198,B
28,1113,13645338308,任己世,2018/6/16,新源西里社区,1,4G98,C
29,1114,13631236382,元米后,2017/2/1,椿树社区,2,4G388,F
30,1115,13641320705,苏力是,2017/3/8,双新社区,1,4G198,A
31,1116,13661147707,雷王,2017/11/3,东小口局社区,1,4G168,C
32,1117,13623414236,金术走,2017/4/9,东坝社区,1,4G168,A
33,1118,13670868138,郑器设,2017/12/16,国英社区,1,4G168,B
34,1119,13632701031,元记但,2017/6/28,流村社区,2,4G388,A
35,1120,13667642166,韦共,2018/3/2,北潞园社区,2,4G588,A
36,1121,13655275302,傅水情,2018/1/7,兴丰社区,2,4G388,A
37,1122,13628030450,时色精,2017/2/2,东王庄社区,2,4G588,B
38,1123,13645088380,冯金南,2018/6/17,樱化社区,1,4G78,C
39,1124,13626723144,苏或,2017/3/29,水关新村社区,2,4G588,F
40,1125,13954525425,元治成,2017/3/12,玉桃园社区,2,4G588,A
41,1126,13923175821,孟为候,2018/6/4,木林社区,1,4G58,C
42,1127,13934175678,滕可九,2018/3/21,清源社区,1,4G58,A
43,1128,13931004578,酆以,2018/6/28,南新园社区,2,4G588,B
44,1129,13945550856,秦我元,2017/8/3,天坛社区,2,4G588,A
45,1130,13906513126,郝查元,2017/1/21,望园西里社区,1,4G288,A
46,1131,13920007238,鲍小经,2017/8/7,富乐社区,1,4G168,A
47,1132,13962050046,雷象,2018/3/17,青云社区,1,4G288,B
48,1133,13983578884,吴事会,2017/9/10,西田各庄社区,1,4G78,C
49,1134,13920078055,姜拉研,2017/9/16,苏家坨社区,1,4G288,F
50,1135,13920307181,任值些,2017/10/23,清源社区,1,4G168,A
51,1136,13972160140,孔级,2018/1/27,海户西里社区,1,4G58,C
52,1137,13918221114,许领更,2018/4/14,峪口社区,2,4G388,A
53,1138,13907602058,倪她少,2017/3/12,槐柏树社区,1,4G198,B
54,1139,13936842387,朱所已,2017/11/23,十里居社区,2,4G588,A
55,1140,13964860344,袁才,2017/6/12,胡庄社区,2,4G588,A
56,1141,13980022713,严生机,2017/2/28,龙庆峡社区,1,4G198,A
57,1142,13970111411,谢农下,2017/12/21,西二旗社区,1,4G288,B
58,1143,13981204378,任当除,2017/7/24,北营房社区,1,4G288,C
59,1144,13938124580,窦角,2017/5/4,南口镇道南社区,1,4G98,F
60,1145,13972577622,陶全选,2017/4/10,张坊社区,1,4G98,A
61,1146,13975407005,薛重群,2018/3/10,周口店社区,1,4G58,C
62,1147,13957526233,岑什飞,2018/1/15,长阳社区,1,4G198,A
63,1148,13904614036,戚改,2017/9/17,河南寨社区,2,4G388,B
64,1149,13938061347,吴而前,2018/4/25,石龙开发区社区,1,4G78,A
65,1150,13971364850,任应酸,2017/5/1,开发社区,1,4G78,A
66,1151,13974268347,贺新众,2017/7/12,苏园社区,1,4G198,A
67,1152,13970227681,齐系,2017/9/25,李遂社区,2,4G588,B
68,1153,13957044443,周斗己,2017/9/21,长阳社区,1,4G168,C
69,1154,13980202847,元到满,2017/2/19,李遂社区,1,4G78,F
70,1155,13988303842,毕听群,2017/7/17,南菜园社区,2,4G588,A
71,1156,13980031303,彭界,2017/4/20,成寿寺社区,1,4G168,C
72,1157,13902844047,谢运验,2017/6/7,芳园里社区,1,4G98,A
73,1158,13947152857,戚类选,2017/2/10,宿舍区社区,1,4G168,B
74,1159,13903266445,酆精按,2017/7/13,方南家园社区,2,4G388,A
75,1160,13987508478,孔查,2017/5/10,北营房社区,1,4G288,A
76,1161,13924618854,贺反手,2018/3/6,隆福寺社区,1,4G288,A
77,1162,13966658100,傅置变,2017/9/6,长辛店北社区,1,4G288,B
78,1163,13940727408,秦且高,2018/7/23,李桥社区,2,4G388,C
79,1164,13915344276,李然,2017/11/28,南小街社区,1,4G58,F
80,1165,13926288226,褚细劳,2018/7/30,上庄社区,2,4G388,A
81,1166,13903585453,郝数断,2018/1/22,金顶街社区,1,4G198,C
82,1167,13983638783,薛圆积,2018/1/12,团河社区,1,4G198,A
83,1168,13916311310,任一,2018/7/2,华展社区,1,4G198,B
84,1169,13935784375,吴毛构,2017/12/8,大榆树社区,1,4G78,A
85,1170,13932448530,杨收每,2017/5/24,平安社区,1,4G58,A
86,1171,13988310613,朱斯科,2018/6/11,十里居社区,1,4G98,A
87,1172,13940056474,沈界,2017/4/28,怡海社区,2,4G388,B
88,1173,13988148303,郑出什,2018/6/12,胡各庄社区,1,4G58,C
89,1174,13958823231,杨为目,2017/6/5,大栅栏社区,1,4G58,F
90,1079,13615324514,陈会为,2018/3/25,新村社区,2,4G588,A
91,1080,13618428801,沈系,2018/7/13,锣鼓巷社区,2,4G588,A
92,1819,13501503333,潘第见,2017/4/12,翠林社区,1,4G288,A
93,1820,13562317300,鲍已,2018/4/13,石佛营北社区,1,4G58,A
94,1821,13530244472,邹己按,2018/5/15,海龙社区,2,4G388,A
95,1822,13538427428,罗传特,2017/2/4,北蜂窝社区,1,4G58,B
